pattern,example,translation,count
heißt auf,Frankreich heißt auf Französisch „France“.,"France is called ""France"" in French.",6
besteht aus,Die Golden-Gate-Brücke besteht aus Eisen.,The Golden Gate Bridge is made of iron.,3
Willkommen zu,Willkommen zu unserer ersten Deutschstunde.,Welcome to our first German class.,2
zählt zu,Lasagne zählt zu meinen Lieblingsgerichten.,Lasagna is one of my favorite foods.,2
ist von,Er ist von bewundernswerter Selbstbeherrschung.,He controls himself admirably.,2
gehören zu,Litschis gehören zu meinen Lieblingsfrüchten.,Lychees are one of my favourite fruits.,2
nicht mit,Verwechsle Astrologie nicht mit Astronomie.,Don't confuse astrology with astronomy.,2
Zeit mit,Verschwende keine Zeit mit Kleinigkeiten!,Don't waste time on trifles.,2
sterben bei,Etliche Menschen sterben bei Verkehrsunfällen.,A number of people die in traffic accidents.,2
war von,Tom war von bemerkenswerter Schüchternheit.,Tom was remarkably shy.,1
süchtig nach,Maria ist süchtig nach Liebesgeschichten.,Mary is addicted to love stories.,1
leidet an,Meine Mathematikprofessorin leidet an Insomnie.,My maths professor suffers from insomnia.,1
Mineralwasser mit,Trinkst du Mineralwasser mit Eiswürfeln?,Do you drink mineral water with ice cubes?,1
Energiegetränke mit,Mische keine Energiegetränke mit Alkohol!,Don't mix energy drinks with alcohol.,1
Bitte von,Bitte von der Bahnsteigkante zurücktreten!,Please step back from the edge of the platform.,1
zweifelte an,Hanako zweifelte an seiner Ernsthaftigkeit.,Hanako questioned his sincerity.,1
selten mit,Neutrinos wechselwirken selten mit Materie.,Neutrinos rarely interact with matter.,1
Chinesisch mit,Verwechsle nicht Chinesisch mit Japanisch!,Don't confuse Chinese with Japanese.,1
alles nach,Hier schmeckt alles nach Meeresfrüchten.,Everything here tastes of seafood.,1
komme aus,Ich komme aus zerrütteten Familienverhältnissen.,I come from a broken home.,1
nichts an,Ändere nichts an einer Siegermannschaft!,Never change a winning team.,1
Schutz vor,Kondome bieten Schutz vor Geschlechtskrankheiten.,Condoms offer protection against STDs.,1
gehört zu,Tom gehört zu Marias Lieblingsschülern.,Tom is one of Mary's favorite students.,1
handelt von,Diese Fernsehsendung handelt von Pinguinen.,This TV show is about penguins.,1
katalogisierte über,Brahe katalogisierte über tausend Sterne.,Brahe catalogued over 1000 stars.,1
passierte mit,Alles passierte mit Lichtgeschwindigkeit.,Everything happened at the speed of light.,1
sprachen über,Wir sprachen über unsere Zukunftspläne.,We discussed our future plans.,1
Spiralen auf,Kiefernzapfen weisen Fibonacci-Spiralen auf.,Fibonacci spirals can be found on pine cones.,1
Sie aus,Sprechen Sie aus persönlicher Erfahrung?,Do you speak from personal experience?,1
Fremdsprachen zu,Fremdsprachen zu lernen ist Zeitverschwendung.,Learning a foreign language is a waste of time.,1
Verpflichtungen aus,Verpflichtungen aus betrieblichen Tätigkeiten sind:,Obligations for operating activities are:,1
wurden von,Wir wurden von Straßenräubern überfallen.,We were attacked by highwaymen.,1
arbeite bei,Ich arbeite bei einem Versicherungsunternehmen.,I work for an insurance company.,1
dauern an,Die polizeilichen Ermittlungen dauern an.,A police investigation is in progress.,1
sich aus,Kreolsprachen entwickeln sich aus Pidginsprachen.,Creoles develop from pidgins.,1
stundenlang mit,Tom weinte stundenlang mit Unterbrechungen.,Tom cried on and off for hours.,1
klopfte an,Tom klopfte an Marias Schlafzimmerfenster.,Tom knocked on Mary's bedroom window.,1
suchen nach,Die Paläontologen suchen nach Fossilien.,The paleontologists are looking for fossils.,1
Rechne mit,Rechne mit einer angenehmen Überraschung!,Expect to be pleasantly surprised.,1
lernt mit,Tom lernt mit Leichtigkeit Fremdsprachen.,Tom has a facility for acquiring foreign languages.,1
Schwarzenegger nach,Kommt Arnold Schwarzenegger nach Österreich?,Does Arnold Schwarzenegger visit Austria?,1
kommt aus,Das Pfirsichbäumchen kommt aus Deutschland.,Little Peach Tree is from Germany.,1
begeistert von,Ingenieure sind begeistert von Solarenergie.,Engineers are crazy about solar energy.,1
handelt mit,Dieses Geschäft handelt mit Damenbekleidung.,This shop deals in women's clothing.,1
öfter an,Verkehrsunfälle geschehen öfter an Regentagen.,Traffic accidents are likely to occur on rainy days.,1
Aufsatz über,"Schreibt einen Aufsatz über ""Freundschaft"".","Write an essay on ""Friendship"".",1
Übersetzung mit,Vergleiche deine Übersetzung mit seiner.,Compare your translation with his.,1
Rindfleisch nach,Afrika exportiert Rindfleisch nach Europa.,Africa is exporting beef to Europe.,1
werden zu,Erdbeeren werden zu Marmelade verarbeitet.,Strawberries are made into jam.,1
Österreich mit,Verwechsele nicht Österreich mit Australien!,Don't confuse Austria with Australia.,1
läuft mit,Dieses Spielzeugauto läuft mit Batterien.,This toy car runs on batteries.,1
funktioniert mit,Diese Methode funktioniert mit Sicherheit.,This method is sure to work.,1
sind bei,Einkaufszentren sind bei Jugendlichen beliebt.,Shopping malls are popular among teenagers.,1
mich mit,Verschone mich mit solchen Kleinigkeiten!,Don't bother me with such trifles.,1
hat mit,Pasteur hat mit Bakterien experimentiert.,Pasteur experimented with bacteria.,1
sich mit,Pandas ernähren sich mit Bambusblättern.,Pandas feed on bamboo grass.,1
werden aus,Bierflaschen werden aus Glas hergestellt.,Beer bottles are made of glass.,1
schreib mit,Bitte schreib mit einem Füllfederhalter.,Please write with a pen.,1
dürstet nach,Unser Volk dürstet nach Unabhängigkeit.,Our people thirst for independence.,1
Gesellschaft zu,"Versuch, schlechte Gesellschaft zu meiden.",Try to avoid bad company.,1
wurde von,Ich wurde von Außerirdischen gekidnappt.,I was abducted by aliens.,1
Flugreisen nach,Ich vermeide Flugreisen nach Möglichkeit.,"I avoid traveling by air, if I can help it.",1
beginnen mit,Sätze beginnen mit einem Großbuchstaben.,Sentences begin with a capital letter.,1
werden mit,Straßenbahnen werden mit Elektrizität betrieben.,Streetcars run on electricity.,1
untersuchen mit,Zahnärzte untersuchen mit Röntgenstrahlen Zähne.,Dentists examine teeth with x-rays.,1
wird aus,Champagner wird aus Frankreich importiert.,Champagne is imported from France.,1
Küchenschränke aus,Sie räumte sämtliche Küchenschränke aus.,She cleaned out all of the kitchen cupboards.,1
Ministerpräsidentin von,Sie ist Ministerpräsidentin von Finnland.,She is the Prime Minister of Finland.,1
Meisterstück mit,Saint-Exupérys Meisterstück mit Original-Illustrationen.,Saint-Exupéry's masterpiece with original illustrations.,1
traf auf,Er traf auf unvorhergesehene Hindernisse.,He encountered unexpected obstacles.,1
Flugzeugreisen zu,"Tom versucht, Flugzeugreisen zu vermeiden.",Tom tries to avoid traveling by air.,1
lernen zu,Philosophieren bedeutet lernen zu sterben.,Philosophy is learning how to die.,1
schmecken nach,Nordostchinesische Gerichte schmecken nach nichts.,Northeastern Chinese dishes are tasteless.,1
ist nach,Lincoln ist nach Washington zurückgekehrt.,Lincoln returned to Washington.,1
Schiffstransporte mit,Schiffstransporte mit Lebensmitteln wurden blockiert.,Food shipments were blocked.,1
verfügten über,Die Soldaten verfügten über Artillerie.,The soldiers had artillery.,1
arbeiten bei,Sie arbeiten bei einer Verpackungsfabrik.,They work for a packaging company.,1
arbeitet bei,Tom arbeitet bei der Umweltschutzbehörde.,Tom works for the Environmental Protection Agency.,1
Aachen auf,Aix-la-Chapelle ist Aachen auf Deutsch.,Aix-la-Chapelle is Aachen in German.,1
können an,Meerschweinchen können an Einsamkeit sterben.,Guinea pigs can die of loneliness.,1
